name,class,nose,left_ear,upper_body,lower_body,left_eye,right_ear,left_hand,right_hand,body,head,left_foot,mouth,left_arm,right_eye,right_arm,right_foot
A-W6-o2,ASD,2.2573865105731166,1.6668137918001154,40.33603306879853,9.742146077631755,0.7859501595700841,1.685130426874842,4.190254052246533,6.360867816859582,30.535865851244115,37.56020289414379,2.1213993713819645,11.078418939439151,0.0,0.7404360966571275,0.0,2.1077081492048966
A-W9-o3,ASD,0.0,0.0,32.744317386073526,9.621479670379426,0.0,0.0,0.0,0.0,0.0,32.982657291682486,0.0,0.0,0.0,0.0,0.0,0.0
A-W9-s1,ASD,0.0,0.0,38.2312676904898,14.653708806708124,0.0,0.0,0.0,0.0,0.0,19.842027931364214,0.0,0.0,0.0,0.0,0.0,0.0
A-L10-s3,ASD,0.3520257186527498,0.0,35.194125009978244,37.907146508018485,0.5424658615304669,0.0,1.0531916992479813,1.5848750040849364,56.14575769153652,9.71569342556263,1.107474353609906,1.3648210239569736,2.669047456998308,1.2522882122565044,3.288699285528453,0.8093706072302989
A-W9-s3,ASD,0.0,0.0,32.81047298527119,7.578303371833505,0.0,0.0,0.0,0.0,0.0,38.07194316011222,0.0,0.0,0.0,0.0,0.0,0.0
A-2-s1,ASD,0.0,0.0,23.052320624069313,11.153941670321442,0.39907606428719566,0.0,0.0,0.0,0.0,49.37259474656991,0.0,0.0,0.0,1.359814737571185,0.0,0.0
A-L4-o2,ASD,0.0,0.0,20.688506383733397,15.691218030255541,0.0,0.0,0.0,0.0,0.0,47.04424012762412,0.0,0.0,0.0,0.0,0.0,0.0
A-4-s3,ASD,0.0,0.0,15.66616127384779,8.673036914698777,0.0,0.0,0.0,0.0,0.0,52.294702036876025,0.0,0.0,0.0,0.0,0.0,0.0
A-P8-o2,ASD,0.0,0.0,9.578445983018423,5.612023590316553,0.0,0.0,0.0,0.0,0.0,61.13409915864012,0.0,0.0,0.0,0.0,0.0,0.0
A-4-o3,ASD,0.0,0.0,13.256507545847644,6.162691494755798,0.0,0.0,0.0,0.0,0.0,50.400721826271756,0.0,0.0,0.0,0.0,0.0,0.0
A-W9-s2,ASD,1.2939063387339367,0.7803163227013871,28.383246189896695,10.843762051212892,1.585156872687674,0.6323602407346305,1.7673658010275566,1.671093007966998,31.0373350849031,42.796195369102165,1.5557683358586638,3.007764734776258,0.0,1.5476611532851396,0.0,1.752772872395221
A-W6-s1,ASD,0.0,0.0,40.17581615994479,9.032688981011201,0.0,0.0,0.0,0.0,0.0,36.84208925442866,0.0,0.0,0.0,0.0,0.0,0.0
A-W6-s3,ASD,0.0,0.0,31.543065316991246,9.084449735104089,0.0,0.0,0.0,0.0,0.0,41.31993453248598,0.0,0.0,0.0,0.0,0.0,0.0
A-W9-o2,ASD,0.7602880631278813,0.6459031059835759,35.95748420823846,12.992635300087475,1.0133823707635246,0.7629014277023553,1.9069520271896034,4.043679108888773,0.0,29.55112249598058,1.8424989301006185,2.225380449187109,0.0,1.4015675240950787,0.0,2.543808871184614
A-L2-s1,ASD,0.0,0.0,46.69138287328959,7.064200380681911,0.9921820640495995,0.0,1.627373963358749,1.540090823734523,52.61325720034932,18.79327045719291,1.4596034516722798,1.0805270423553854,0.0,1.3856994794357094,0.0,0.7906450822895253
